"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://bgoonz-blog.netlify.app/","1","Web-Dev-Hub","11","123","Indexable",""
"https://bgoonz-blog.netlify.app/docs/projects/","1","Projects","8","72","Indexable",""
"https://bgoonz-blog.netlify.app/docs/content/","1","Manage Content","14","145","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/","1","Reference | webdevhub","21","208","Indexable",""
"https://bgoonz-blog.netlify.app/blog/platform-docs/","1","Platform Docs","13","125","Indexable",""
"https://bgoonz-blog.netlify.app/docs/tutorials/","1","Tutorials | webdevhub","21","192","Indexable",""
"https://bgoonz-blog.netlify.app/docs/community/","1","Connect","7","72","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/","1","Documentation","13","130","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/","1","Articles | webdevhub","20","182","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/","1","Cheat Sheets","12","119","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/nodejs/","1","Javascript and Node","19","179","Indexable",""
"https://bgoonz-blog.netlify.app/blog/","1","Blog","4","39","Indexable",""
"https://bgoonz-blog.netlify.app/docs/interview/job-search-nav/","1","Job Search Navigation | webdevhub","33","313","Indexable",""
"https://bgoonz-blog.netlify.app/docs/react/","1","React","5","52","Indexable",""
"https://bgoonz-blog.netlify.app/docs/faq/","1","FAQ","3","41","Indexable",""
"https://bgoonz-blog.netlify.app/docs/interact/","1","Interactive Examples","20","182","Indexable",""
"https://bgoonz-blog.netlify.app/docs/about/","1","About","5","51","Indexable",""
"https://bgoonz-blog.netlify.app/docs/leetcode/","1","Leetcode Examples","17","173","Indexable",""
"https://bgoonz-blog.netlify.app/docs/javascript/","1","Javascript | webdevhub","22","206","Indexable",""
"https://bgoonz-blog.netlify.app/docs/tools/","1","Tools","5","48","Indexable",""
"https://bgoonz-blog.netlify.app/docs/interview/","1","Interviewing | webdevhub","24","221","Indexable",""
"https://bgoonz-blog.netlify.app/docs/data-structures/","1","Data Structures","15","138","Indexable",""
"https://bgoonz-blog.netlify.app/docs/python/","1","Python | webdevhub","18","177","Indexable",""
"https://bgoonz-blog.netlify.app/docs/tips/","1","Tips | webdevhub","16","154","Indexable",""
"https://bgoonz-blog.netlify.app/docs/audio/","1","Audio Projects","14","127","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/vscode-themes/","1","vscode-themes","13","133","Indexable",""
"https://bgoonz-blog.netlify.app/docs/projects/my-websites/","1","My Sites","8","77","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/webdev-tools/","1","Web Developer Tools | webdevhub","31","307","Indexable",""
"https://bgoonz-blog.netlify.app/docs/react/dont-use-index-as-keys/","1","Lists and Keys","14","129","Indexable",""
"https://bgoonz-blog.netlify.app/docs/python/functions/","1","lorem-ipsum | webdevhub","23","224","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/reading-files/","1","Reading files","13","113","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/how-to-kill-a-process/","1","Kill a Process in Linux | webdevhub","35","307","Indexable",""
"https://bgoonz-blog.netlify.app/docs/interact/video-chat/","1","Zumzi Video Conference:","23","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/javascript/review/","1","Javascript Concepts Review | webdevhub","38","365","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/node-docs-complete/","1","Node Docs | webdevhub","21","214","Indexable",""
"https://bgoonz-blog.netlify.app/docs/about/eng-portfolio/","1","Engineering Portfolio","21","181","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/node-cli-args/","1","npm packages","12","128","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/bash/","1","Bash Commands That Save Me Time and Frustration | webdevhub","59","582","Indexable",""
"https://bgoonz-blog.netlify.app/docs/javascript/for-loops/","1","lorem-ipsum | webdevhub","23","224","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/no-whiteboarding/","1","lorem-ipsum | webdevhub","23","224","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/intro-to-nodejs/","1","Intro To NodeJS | webdevhub","27","261","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/sitemap/","1","Sitemap","7","72","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/all-emojis/","1","All Emojis | webdevhub","22","202","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/new-repo-instructions/","1","new-repo-git","12","111","Indexable",""
"https://bgoonz-blog.netlify.app/docs/about/job-search/","1","Job Search | webdevhub","22","217","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/node-package-manager/","1","Sorting Algorithms | webdevhub","30","277","Indexable",""
"https://bgoonz-blog.netlify.app/docs/tips/insert-into-array/","1","Insert Into Array | webdevhub","29","260","Indexable",""
"https://bgoonz-blog.netlify.app/docs/audio/dtw-python-explained/","1","Dynamic Time Warping Algorithm Explained (Python) | webdevhub","61","578","Indexable",""
"https://bgoonz-blog.netlify.app/docs/audio/discrete-fft/","1","Fast Fourier Transform","22","203","Indexable",""
