"Address","Occurrences","Meta Keywords 1","Meta Keywords 1 Length","Indexability","Indexability Status"
"https://bgoonz-blog.netlify.app/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/projects/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/content/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/blog/platform-docs/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/tutorials/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/community/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/nodejs/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/blog/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/interview/job-search-nav/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/react/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/faq/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/interact/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/about/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/leetcode/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/javascript/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/tools/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/interview/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/data-structures/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/python/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/tips/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/audio/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/vscode-themes/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/projects/my-websites/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/webdev-tools/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/react/dont-use-index-as-keys/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/python/functions/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/reading-files/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/how-to-kill-a-process/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/interact/video-chat/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/javascript/review/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/node-docs-complete/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/about/eng-portfolio/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/node-cli-args/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/bash/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/javascript/for-loops/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/no-whiteboarding/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/intro-to-nodejs/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/sitemap/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/all-emojis/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/new-repo-instructions/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/about/job-search/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/node-package-manager/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/tips/insert-into-array/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/audio/dtw-python-explained/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/audio/discrete-fft/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/about/resume/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/resources/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/content/history-api/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/projects/embeded-websites/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/minifiction/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/installation/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/markdown-dropdowns/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/interact/jupyter-notebooks/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/es-6-features/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/git-tricks/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/node-docs-full/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/javascript/this-is-about-this/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/awesome-lists/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/git-repos/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/awesome-static/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/google-cloud/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/about/intrests/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/npm/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/install/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/google-firebase/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/community/bookmarks/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/react/ajax-n-apis/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/projects/list-of-projects/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/fs-module/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/react/render-elements/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/react/cheatsheet/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/python/examples/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/content/archive/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/pull-request-rubric/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/react/demo/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/semantic-html/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/semantic/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/quick-links/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/appendix/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/node-js-language/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/git-bash/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/career/interview-dos-n-donts/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/react/react-docs/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/embed-the-web/","1","HTML, Meta Tags, Metadata","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/psql/","1","HTML, Meta Tags, Metadata","25","Indexable",""
